team,season,mean_pa,mean_avg,mean_slg,mean_iso,mean_babip,mean_obp,mean_w_oba,mean_w_rc,mean_bsr,mean_off,mean_war
angels,1998,196.25,0.27139108280254776,0.41609187898089167,0.1445904458598726,0.3066528662420382,0.33503407643312105,0.32973359872611463,94.34108280254777,-0.03783439490445861,1.4225318471337582,1.0820063694267517
angels,1999,204.4,0.2556855838225701,0.3952036855838226,0.13965883887801697,0.2862247227658186,0.3210939334637965,0.3158809523809524,79.85909980430529,-0.315296803652968,-7.11909654272668,1.1252609262883235
angels,2000,236.03703703703704,0.2794649301741723,0.473451278832575,0.1940058057429782,0.3041704064020085,0.3521216067785972,0.3559045975207908,106.27616507139494,-0.2043464616350228,9.590993252785188,3.1706731523615255
angels,2001,249.04,0.26013829103758435,0.4053888531962737,0.14507950530035335,0.2887560231288146,0.3267688724702859,0.31779698040475424,92.75762929649855,0.3954866688082236,-0.5233376164471572,1.9073723096691297
angels,2002,158.175,0.2821013118381539,0.43272530425162004,0.1507848901533112,0.30348506401137976,0.3404629366208313,0.3357077603919709,104.62067330488384,1.8696696696696695,7.402133712660028,2.675454401770191
angels,2003,142.30232558139534,0.2682796208530806,0.41263278313449914,0.14433060957672822,0.29033551233861743,0.3300201013237457,0.3230387318189247,96.46805033502206,-0.09143650923353482,1.9383722830527867,1.7741461023042981
angels,2004,165.68421052631578,0.2826289707750953,0.42938929479034305,0.14691947268106734,0.31184228081321475,0.3405789390088945,0.3334528271918678,102.76937738246505,0.5505876747141041,6.165104828462516,2.189533036848793
angels,2005,154.65,0.27020206918849016,0.40862609117361787,0.1383766569673456,0.29426737795021013,0.32511461364371164,0.3187491108955707,95.44018752020692,1.0246039443905592,0.2172162948593596,1.7376495311994828
angels,2006,155.525,0.2741721588169105,0.4246960295772384,0.15043128114451051,0.30033338691528694,0.3337153190805337,0.3272912714997589,95.37887799389166,1.12554251728018,1.5455553769490435,1.3685420350425979
angels,2007,147.57142857142858,0.28433720555017744,0.41785446918360764,0.13346627944498227,0.31522991287512103,0.34468328493062284,0.33281978057437883,100.21813488222007,1.1252016779606326,5.704340109712811,2.0041464988706035
angels,2008,150.1219512195122,0.2681298131600325,0.41314865962632,0.1451437855402112,0.2973000812347685,0.32961218521527214,0.3245463850528026,96.16880584890333,-0.1628269699431357,0.20108854589764447,1.352835093419984
angels,2009,137.06521739130434,0.28523727200634413,0.4406794607454401,0.15534956383822363,0.321898969072165,0.3498044409199048,0.34547692307692307,108.45725614591593,0.6966058683584456,9.73501982553529,2.7679777954004754
angels,2010,132.3695652173913,0.24862571850878634,0.39153391361471507,0.14282394481852523,0.28038922647396947,0.3107973394646083,0.3097516833634423,93.74412875677451,-0.9619313516176713,0.7626703892264739,1.326457546395139
angels,2011,141.58139534883722,0.2527959921156373,0.40104993429697766,0.14810233245729304,0.28751199080157686,0.3123541392904074,0.31295450065703023,98.65325229960578,-0.28667871222076213,2.4891261498028907,2.2204007884362684
angels,2012,139.11363636363637,0.27392174481293907,0.4321455644502532,0.15827185100473778,0.31255138049338343,0.3311537330501552,0.33096797908838427,113.54549910145401,1.1026793007678486,13.313576213037086,3.176980885476229
angels,2013,127.75510204081633,0.26444424920127796,0.4154167731629393,0.15105878594249203,0.3080340255591054,0.32893977635782745,0.32508753993610223,109.00607028753994,-0.31006389776357834,8.398753993610224,2.016501597444089
angels,2014,116.37037037037037,0.25894016549968174,0.40660486950986635,0.14760693825588797,0.30719334818586885,0.32195146403564606,0.3205300763844685,109.60741565881604,0.1417409293443667,10.689926798217696,2.9500954805856145
angels,2015,117.45098039215686,0.24566043405676127,0.3968928213689482,0.15135909849749582,0.27956444073455755,0.30609465776293826,0.3047904841402337,94.60133555926544,0.3344574290484141,4.2353422370617695,2.0415358931552587
angels,2016,113.98113207547169,0.26022694918059924,0.40670534679688797,0.1464110246647906,0.29076113226287037,0.3217399437179275,0.3140635656348287,98.56646250620759,-0.7704519119351101,5.7773216354908135,2.0758980301274623
angels,2017,110.41818181818182,0.24274510126790713,0.39957747406553595,0.15685295570558208,0.2755165486579944,0.314791371644986,0.30701416104067186,91.57533344310885,-0.3638728799604808,-1.8704758768318788,1.55394368516384
angels,2018,101.8,0.242744433529797,0.41680615586116565,0.17397118533071382,0.27949918140144075,0.31318811394891943,0.3138551080550098,99.62999345121153,0.3341028159790439,5.882711198428292,2.2177472167648986
angels,2019,109.66666666666667,0.24716957286834107,0.42502511598144294,0.1778899376099824,0.2814492081266997,0.3241726123820189,0.3166451767717165,98.76547752359622,-0.1065429531274996,5.043800991841305,1.9022236442169251
astros,1998,189.44117647058823,0.2798784350256171,0.4366245924545878,0.15678326346840551,0.3190329141437665,0.3545137401024686,0.3456817264399938,112.6183822387828,0.9559074677845055,19.152569476789317,3.4219996894892097
astros,1999,194.03030303030303,0.2669615805091363,0.42229954708730283,0.15531875683273466,0.3047320006247072,0.35333125097610496,0.33996564110573174,100.81399344057473,0.03515539590816807,8.701186943620177,2.3503201624238637
astros,2000,143.2,0.27840192427063937,0.47802684667908135,0.19968916821849783,0.30344522036002486,0.35940487274984484,0.35966309745499686,105.35940409683427,-0.018094351334574803,12.783566108007449,2.203693358162632
astros,2001,170.94594594594594,0.2716181818181818,0.4525837154150198,0.18090687747035575,0.30368521739130433,0.34542814229249014,0.34155778656126484,100.8999209486166,-0.666387351778656,10.172395256916996,2.545501976284585
