team,season,mean_innings,mean_drs,mean_uzr,mean_uzr150,mean_def
angels,1998,274.8642857142857,NA,NA,NA,NA
angels,1999,286.15,NA,NA,NA,NA
angels,2000,330.83142857142855,NA,NA,NA,NA
angels,2001,328.46285714285716,NA,NA,NA,NA
angels,2002,322.55277777777775,NA,3.5580217378463,4.618287160100025,3.730978133568486
angels,2003,279.10243902439026,2.1716914848993287,4.0300285634387985,5.063752396931927,2.955581655480984
angels,2004,323.075,-0.15980121574797737,2.2250908947978694,2.3828646109702647,5.839517637994608
angels,2005,344.3705882352941,3.5509796218164427,3.7863923865300144,5.00184382625671,8.706158261582617
angels,2006,322.65277777777777,-1.0892858680211785,-1.0661773242942745,0.16870504658919816,2.696154058074825
angels,2007,327.86,0.0786136939983093,1.1652268743526413,2.918577205003585,5.955246646775048
angels,2008,322.3888888888889,0.7312769257280718,0.35742176341374543,1.258054157349856,5.194956847823091
angels,2009,350.2181818181818,5.776407780431245,3.007807478169717,2.112092443706055,6.262313804751093
angels,2010,269.4697674418605,-1.768554957194145,-1.5253941163703806,0.052618234911114406,0.07675417397428627
angels,2011,355.0030303030303,3.3636417956312794,4.315172534902098,5.340377167052028,6.174224959711562
angels,2012,382.02,5.063391096452192,3.8203147438966014,4.831671852561033,2.2397838803803034
angels,2013,298.85897435897436,-5.912530564969328,-1.9111570288496462,-3.8961422555534835,-2.6814608900969166
angels,2014,320.43783783783783,-0.10321182166292729,2.8021256271709762,3.2954882284832108,6.0903553162490045
angels,2015,256.00444444444446,0.8375896251801184,1.0738078221163392,1.8335100258090136,1.232446247013723
angels,2016,299.08684210526314,1.7216879448848685,1.8339934757656913,3.897872576065725,2.3994410576259733
angels,2017,359.984375,6.918364512348625,3.246330498297987,3.6003642209938174,9.937684924085623
angels,2018,234.55714285714285,5.330992839306379,3.9743702244508117,4.072826130213308,7.170622467874198
angels,2019,274.62142857142857,-0.108981194891669,1.6283672538284535,2.5848746330238836,1.6235648289448128
astros,1998,435.8037037037037,NA,NA,NA,NA
astros,1999,315.2108108108108,NA,NA,NA,NA
astros,2000,310.6702702702703,NA,NA,NA,NA
astros,2001,401.11034482758623,NA,NA,NA,NA
astros,2002,339.8764705882353,NA,-0.453644782144129,-0.6494637698365585,1.2240203816011743
astros,2003,362.36875,5.353619413925732,4.395845205817106,5.776889327088982,4.383983992272132
astros,2004,397.87586206896555,1.5209561117659296,0.3222971835032344,1.3631358912632132,3.2357096295474403
astros,2005,349.6060606060606,5.036621305365347,2.466895567644698,3.241699614534716,4.189478648007656
astros,2006,345.3970588235294,5.790760846425681,5.155367787431332,4.174454552538278,7.727343451959235
astros,2007,300.25897435897434,-2.547655442737466,-1.293782707178005,-3.2563608138717486,-1.1023981306878738
astros,2008,325.65714285714284,2.689673626952097,5.467348884829262,6.479070724509666,5.046169289735634
astros,2009,326.69714285714286,1.0190565311691038,-0.6224998500209971,-0.9140820285160076,-1.8889484362974884
astros,2010,328.83714285714285,-0.5791229701198165,-0.4499880853091859,-1.9747061042932603,0.3697594549499446
astros,2011,337.5029411764706,1.4876733100365136,-0.8521148923879812,-1.133938868803968,0.30288642543400923
astros,2012,247.3282608695652,-3.6530135095938334,-0.7282952884857647,-0.9565663895187705,-1.4694735509641488
astros,2013,287.79,-0.9163105041870809,-1.9557569073947125,-6.981500799777453,-0.6354352267515392
astros,2014,348.59090909090907,-1.8076324596861824,-4.51715430025243,-7.468994852020432,-1.4286984100488254
astros,2015,338.91470588235296,1.9976048112053182,-0.22438329794201126,-2.2735914584532337,1.2956342428660699
astros,2016,293.495,4.317628920424539,1.3766255545263977,1.1816331107102813,3.2183135255955952
astros,2017,304.2552631578947,1.072255810131728,-2.3234068080633805,-5.0755351954864105,-0.7238294279663947
astros,2018,352.57878787878786,1.9502711622590267,-1.2464181488346415,-2.6941584177939033,0.29616310252355105
astros,2019,292.315,5.062005028821647,0.8776176997737578,2.2469359372398463,-0.26369645545367465
athletics,1998,273.00952380952384,NA,NA,NA,NA
athletics,1999,359.41562500000003,NA,NA,NA,NA
athletics,2000,337.5882352941176,NA,NA,NA,NA
athletics,2001,300.0153846153846,NA,NA,NA,NA
athletics,2002,322.55,NA,-2.656729461840109,-4.202574536425799,2.4576613569971895
athletics,2003,371.9,1.710752977300523,-2.9844530816213215,-4.80408503212501,0.2842796274964265
athletics,2004,392.22333333333336,0.40648610060594725,1.8786288168031635,-0.7142947354104127,1.7187573095438844
athletics,2005,362.45937499999997,3.171027787596886,2.700661370446302,5.632255361930294,5.4688706184215965
athletics,2006,386.96333333333337,1.2401002678979058,1.0964204142710876,0.6393911947704181,5.574999999999999
athletics,2007,289.4075,2.3092438862158033,0.07272808056872056,-2.4219411532385466,2.570162248818375
athletics,2008,294.2692307692308,4.610543284102296,4.042621334077144,4.8286111332483275,8.263636743855345
athletics,2009,312.75405405405405,-0.15062349311694712,1.4208452736220083,-1.409380620170359,-1.470403860245828
athletics,2010,286.205,5.975227546688562,4.217961465508635,2.4345322950983332,7.696464505310229
athletics,2011,321.5416666666667,-3.3055159604336746,-1.647935981359162,-3.1120247228063938,-0.6275923084366664
athletics,2012,326.4916666666667,0.572772828981512,0.2108333900662315,-20.70691979264936,-0.18128182090446227
athletics,2013,283.19756097560975,-0.7602035982809552,1.3033626105279743,0.04073829732763531,0.951075587404396
athletics,2014,344.13529411764705,1.4190127002034083,0.9747283910777325,0.9657171355648779,0.7859942560175054
athletics,2015,330.0628571428571,-0.601937293329409,-3.0213034441805227,-4.249463578780681,-2.141354237358559
