team,season,pos,g,gs,inn,po,a,drs,arm,dpr,rngR,errR,uzr,uzr150,def
indians,2000,1B,2063,1782,15865.2,5211,1512,NA,NA,NA,NA,NA,NA,NA,NA
mariners,2000,LF,2218,1782,15858.1,5359,1469,NA,NA,NA,NA,NA,NA,NA,NA
marlins,2000,CF,2112,1771,15726.1,5233,1543,NA,NA,NA,NA,NA,NA,NA,NA
mets,2000,SS,2383,1782,15950.0,5276,1413,NA,NA,NA,NA,NA,NA,NA,NA
nationals,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
orioles,2000,LF,1963,1782,15766.2,5380,1447,NA,NA,NA,NA,NA,NA,NA,NA
padres,2000,2B,2187,1782,16052.2,5335,1529,NA,NA,NA,NA,NA,NA,NA,NA
phillies,2000,2B,1997,1782,15825.1,5355,1362,NA,NA,NA,NA,NA,NA,NA,NA
pirates,2000,CF,2081,1784,15939.0,5225,1649,NA,NA,NA,NA,NA,NA,NA,NA
rangers,2000,1B,2089,1782,15719.0,5385,1442,NA,NA,NA,NA,NA,NA,NA,NA
rays,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
red_sox,2000,1B,2108,1780,15979.1,5268,1514,NA,NA,NA,NA,NA,NA,NA,NA
reds,2000,2B,2278,1793,16019.2,5395,1487,NA,NA,NA,NA,NA,NA,NA,NA
rockies,2000,LF,2093,1782,15730.0,5187,1584,NA,NA,NA,NA,NA,NA,NA,NA
royals,2000,C,1964,1782,15832.2,5317,1650,NA,NA,NA,NA,NA,NA,NA,NA
tigers,2000,1B,2163,1781,15876.2,5331,1600,NA,NA,NA,NA,NA,NA,NA,NA
twins,2000,C,2073,1782,15759.1,5351,1397,NA,NA,NA,NA,NA,NA,NA,NA
white_sox,2000,C,2037,1782,15953.2,5342,1561,NA,NA,NA,NA,NA,NA,NA,NA
yankees,2000,2B,2123,1771,15667.2,5318,1305,NA,NA,NA,NA,NA,NA,NA,NA
angels,2001,CF,2018,1782,15814.1,5336,1522,NA,NA,NA,NA,NA,NA,NA,NA
astros,2001,3B,2177,1782,16001.1,5244,1499,NA,NA,NA,NA,NA,NA,NA,NA
athletics,2001,CF,1986,1782,16096.2,5250,1562,NA,NA,NA,NA,NA,NA,NA,NA
blue_jays,2001,1B,1992,1782,16089.1,5273,1680,NA,NA,NA,NA,NA,NA,NA,NA
braves,2001,1B,2033,1781,15920.2,5357,1463,NA,NA,NA,NA,NA,NA,NA,NA
brewers,2001,C,2020,1780,15799.2,5208,1560,NA,NA,NA,NA,NA,NA,NA,NA
cardinals,2001,1B,2190,1781,15788.2,5227,1523,NA,NA,NA,NA,NA,NA,NA,NA
cubs,2001,CF,2296,1782,15807.0,5220,1331,NA,NA,NA,NA,NA,NA,NA,NA
diamondbacks,2001,C,2076,1782,16056.1,5332,1389,NA,NA,NA,NA,NA,NA,NA,NA
dodgers,2001,LF,2046,1782,15957.1,5191,1421,NA,NA,NA,NA,NA,NA,NA,NA
giants,2001,C,2225,1782,16096.2,5452,1460,NA,NA,NA,NA,NA,NA,NA,NA
indians,2001,CF,2176,1778,15913.1,5268,1453,NA,NA,NA,NA,NA,NA,NA,NA
mariners,2001,C,2219,1782,16115.0,5463,1401,NA,NA,NA,NA,NA,NA,NA,NA
marlins,2001,1B,2011,1782,15818.0,5212,1500,NA,NA,NA,NA,NA,NA,NA,NA
mets,2001,CF,2201,1781,15902.1,5295,1452,NA,NA,NA,NA,NA,NA,NA,NA
nationals,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
orioles,2001,3B,1991,1780,15755.2,5361,1474,NA,NA,NA,NA,NA,NA,NA,NA
padres,2001,1B,2168,1782,15847.1,5316,1421,NA,NA,NA,NA,NA,NA,NA,NA
phillies,2001,CF,1911,1782,15898.2,5312,1479,NA,NA,NA,NA,NA,NA,NA,NA
pirates,2001,CF,2200,1779,15579.2,5191,1611,NA,NA,NA,NA,NA,NA,NA,NA
rangers,2001,C,2018,1781,15821.2,5358,1484,NA,NA,NA,NA,NA,NA,NA,NA
rays,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
red_sox,2001,1B,1997,1771,15928.0,5165,1410,NA,NA,NA,NA,NA,NA,NA,NA
reds,2001,3B,2198,1782,15869.1,5330,1537,NA,NA,NA,NA,NA,NA,NA,NA
rockies,2001,1B,2099,1782,15730.0,5208,1531,NA,NA,NA,NA,NA,NA,NA,NA
royals,2001,SS,1981,1784,15840.0,5274,1674,NA,NA,NA,NA,NA,NA,NA,NA
tigers,2001,1B,2032,1780,15722.2,5280,1609,NA,NA,NA,NA,NA,NA,NA,NA
twins,2001,LF,1991,1782,15854.2,5467,1396,NA,NA,NA,NA,NA,NA,NA,NA
white_sox,2001,CF,2119,1782,15766.2,5300,1549,NA,NA,NA,NA,NA,NA,NA,NA
yankees,2001,OF,2022,1769,15964.2,5257,1338,NA,NA,NA,NA,NA,NA,NA,NA
angels,2002,SS,2108,1782,15975.2,5475,1443,0,0.9,-1.7,46.5,9.1,54.8,4.9,54.8
astros,2002,C,2223,1782,15895.0,5161,1469,0,15.7,1.1,-37.8,10.4,-10.8,-0.1,-10.8
athletics,2002,2B,2144,1782,15972.0,5207,1586,0,-23.6,-1.9,-32.4,-0.7,-58.7,-7.5,-58.7
blue_jays,2002,1B,1925,1782,15821.2,5309,1455,0,9.5,1.8,-5.5,3.0,8.9,1.5,8.9
braves,2002,C,2010,1771,16140.2,5358,1596,0,1.1,-0.7,38.2,1.4,39.9,3.7,39.9
brewers,2002,C,2091,1782,15755.2,5276,1450,0,-1.4,-5.0,9.0,5.5,8.1,0.0,8.1
cardinals,2002,3B,2246,1782,15909.2,5353,1507,0,23.1,8.4,28.1,6.6,66.2,8.6,66.2
cubs,2002,CF,2126,1782,15854.2,5233,1339,0,-21.6,4.1,11.5,-5.4,-11.4,-1.7,-11.4
diamondbacks,2002,1B,2086,1782,15913.1,5272,1334,0,-10.3,-4.8,11.5,4.7,1.1,-1.6,1.1
dodgers,2002,2B,2095,1782,16034.1,5294,1481,0,-9.5,7.1,18.4,12.5,28.4,3.6,28.4
giants,2002,CF,2120,1782,15810.2,5373,1439,0,-6.5,4.2,51.5,4.6,53.9,4.9,53.9
indians,2002,LF,2029,1782,15671.1,5240,1508,0,-17.3,-0.3,-15.6,0.6,-32.7,-4.0,-32.7
mariners,2002,1B,2139,1782,15898.2,5410,1322,0,-21.1,-1.8,62.0,5.3,44.4,2.3,44.4
marlins,2002,CF,2055,1782,16019.2,5307,1485,0,1.7,1.5,-43.5,0.0,-40.2,-3.3,-40.2
mets,2002,OF,2169,1771,15869.1,5321,1437,0,6.3,2.4,40.5,-18.2,30.9,3.7,30.9
nationals,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
orioles,2002,3B,1985,1782,15957.1,5328,1563,0,0.6,-1.3,25.5,18.4,43.2,3.9,43.2
padres,2002,1B,2250,1782,15799.2,5215,1529,0,10.0,0.2,-29.0,-7.7,-26.5,-1.9,-26.5
phillies,2002,1B,1993,1771,15946.1,5216,1531,0,-6.1,-6.6,-20.4,13.8,-19.3,-2.9,-19.3
pirates,2002,1B,2185,1771,15539.1,5060,1697,0,15.7,8.2,-20.9,-1.3,1.7,2.3,1.7
rangers,2002,CF,2191,1782,15836.1,5266,1521,0,-5.9,-3.5,-15.8,2.6,-22.5,-2.7,-22.5
rays,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
red_sox,2002,2B,1990,1782,15906.0,5213,1532,0,-29.0,-1.2,4.5,0.5,-25.2,-4.6,-25.2
reds,2002,LF,2146,1782,15990.1,5330,1590,0,18.8,-2.6,4.7,-1.4,19.4,2.5,19.4
rockies,2002,C,2096,1782,15693.1,5225,1521,0,8.7,-1.3,19.2,-6.2,20.5,2.1,20.5
royals,2002,2B,2000,1782,15851.0,5275,1569,0,6.3,1.7,-19.8,-5.4,-17.2,-0.9,-17.2
tigers,2002,CF,1908,1771,15554.0,5320,1585,0,16.9,0.4,-92.6,-18.0,-93.3,-7.1,-93.3
twins,2002,1B,2054,1771,15891.1,5460,1289,0,19.1,-3.0,61.0,10.2,87.3,9.0,87.3
white_sox,2002,C,1997,1782,15653.0,5274,1426,0,-21.8,-0.2,-4.8,-1.6,-28.5,-4.1,-28.5
yankees,2002,3B,1998,1771,15972.0,5306,1332,0,-19.7,-0.5,-36.5,-15.2,-71.9,-8.3,-71.9
angels,2003,3B,2174,1782,15744.2,5402,1395,33,15.4,0.3,70.0,0.6,86.2,9.0,89.2
astros,2003,C,2024,1782,15950.0,5215,1552,90,41.4,-2.5,17.4,-0.8,55.5,8.3,59.5
athletics,2003,CF,2083,1782,15858.1,5162,1554,-6,-22.9,-5.1,-33.5,7.8,-53.8,-8.0,-51.8
blue_jays,2003,2B,2017,1782,15785.0,5159,1567,-69,-28.9,-5.9,-71.1,-1.0,-106.9,-12.8,-114.9
braves,2003,C,2070,1782,16019.2,5258,1653,42,10.3,0.4,15.1,-12.8,13.0,1.8,12.0
brewers,2003,3B,1985,1782,15972.0,5351,1452,-85,11.3,-4.2,-85.3,-10.6,-88.8,-7.7,-86.8
cardinals,2003,CF,2384,1782,16100.1,5452,1492,-10,-3.3,0.5,15.5,6.7,19.4,1.5,18.4
cubs,2003,C,2074,1782,16019.2,5113,1503,-37,-19.9,8.9,32.3,-1.6,19.7,2.1,23.7
diamondbacks,2003,C,2054,1782,16005.0,5150,1513,-50,-19.9,-6.0,-41.9,1.8,-66.0,-8.9,-64.0
dodgers,2003,1B,2149,1782,16034.1,5113,1593,67,-8.5,3.6,44.5,2.1,41.7,4.2,53.7
giants,2003,2B,2050,1771,15810.2,5324,1519,55,17.2,5.4,51.9,8.9,83.4,9.7,79.4
indians,2003,2B,1957,1782,16052.2,5393,1620,35,0.0,3.0,47.0,-5.2,44.9,4.5,46.9
mariners,2003,1B,1942,1782,15851.0,5463,1316,67,-0.8,4.5,108.4,13.5,125.6,12.2,127.6
marlins,2003,CF,1944,1782,15898.2,5329,1446,-12,-11.8,6.7,-6.4,13.0,1.6,0.3,-0.4
mets,2003,1B,2327,1771,15546.2,5302,1451,-46,3.6,-0.7,-21.1,-7.3,-25.4,-2.1,-26.4
nationals,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
orioles,2003,1B,1913,1793,15946.1,5390,1532,-4,-7.9,2.8,-10.9,2.7,-13.4,-1.5,-17.4
padres,2003,CF,2097,1782,15744.2,5204,1464,26,17.0,-2.2,53.6,-2.3,66.1,6.8,58.1
phillies,2003,C,1964,1782,15880.1,5208,1507,28,11.4,5.0,13.7,13.6,43.6,5.8,35.6
pirates,2003,CF,2141,1782,15887.2,5308,1664,-33,-17.7,2.8,-6.6,-1.0,-22.5,-2.5,-26.5
rangers,2003,C,2144,1782,15766.2,5269,1538,51,-8.3,0.0,-33.2,9.8,-31.7,-3.3,-30.7
rays,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
red_sox,2003,CF,2078,1782,16111.1,5301,1522,-35,0.7,-5.7,-46.0,-4.6,-55.7,-6.0,-55.7
reds,2003,CF,2096,1782,15909.2,5393,1557,5,10.3,-3.2,-5.7,-12.5,-11.1,-0.7,-12.1
rockies,2003,2B,2046,1782,15620.0,5146,1603,19,29.6,1.4,-24.4,1.6,8.1,2.1,11.1
royals,2003,2B,2022,1782,15825.1,5339,1568,-66,4.9,2.6,-80.2,-0.2,-72.9,-5.7,-70.9
tigers,2003,1B,1986,1782,15825.1,5383,1626,-56,-45.1,3.7,-3.3,-23.7,-68.3,-7.8,-69.3
twins,2003,SS,2034,1782,16078.1,5497,1318,15,-4.6,-7.7,47.1,10.0,44.7,2.0,42.7
white_sox,2003,1B,2162,1782,15741.0,5260,1439,30,-5.6,3.7,34.1,0.9,33.0,3.2,35.0
yankees,2003,3B,1961,1793,16082.0,5393,1407,-60,-13.1,-2.8,-72.0,-6.4,-94.3,-10.1,-91.3
angels,2004,2B,2137,1782,15997.2,5400,1383,-25,20.3,-4.7,-17.8,-1.2,-3.6,0.3,1.4
astros,2004,CF,2114,1782,15873.0,5133,1450,33,8.1,1.4,-0.7,-5.6,3.2,1.1,0.2
athletics,2004,C,1999,1782,16184.2,5347,1605,-14,3.5,1.2,-5.0,5.7,5.3,0.9,6.3
blue_jays,2004,C,1927,1771,15631.0,5202,1520,81,16.6,0.1,34.9,12.9,64.5,7.0,70.5
braves,2004,1B,2053,1782,15950.0,5316,1620,77,31.9,-2.9,57.3,-1.8,84.4,9.1,82.4
brewers,2004,3B,1968,1771,15862.0,5306,1461,-21,-27.5,-1.3,63.4,-11.1,23.6,0.2,19.6
cardinals,2004,2B,2268,1782,15990.1,5177,1615,22,14.5,-4.5,-2.7,3.6,10.9,1.5,13.9
cubs,2004,SS,2025,1782,16118.2,5234,1393,-11,6.1,-1.5,75.3,4.7,84.6,8.7,80.6
diamondbacks,2004,CF,1998,1782,15796.0,5172,1538,-6,-18.1,-5.6,-2.2,-19.7,-45.6,-6.0,-43.6
dodgers,2004,CF,2045,1782,15986.2,5338,1471,76,1.7,6.4,49.3,13.3,70.6,7.7,69.6
giants,2004,2B,2116,1782,16027.0,5340,1554,-81,-20.5,-5.9,-0.2,0.9,-25.7,-4.2,-29.7
indians,2004,1B,1976,1782,16133.1,5392,1524,-22,-4.0,2.1,18.1,-2.9,13.3,1.3,9.3
mariners,2004,1B,2003,1782,16052.2,5499,1328,69,17.3,-0.4,66.1,0.9,84.0,8.6,84.0
marlins,2004,1B,1995,1782,15829.0,5224,1438,9,-29.3,6.0,-15.8,14.3,-24.8,-3.5,-27.8
mets,2004,2B,2148,1782,15939.0,5307,1544,-55,-11.8,-1.0,16.3,-26.0,-22.5,-2.8,-28.5
nationals,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
orioles,2004,C,2009,1782,16008.2,5342,1553,-31,-8.6,2.2,-5.5,4.5,-7.5,-0.9,-5.5
padres,2004,SS,2119,1782,15851.0,5310,1427,-24,-8.0,4.8,-20.7,-5.2,-29.2,-2.3,-28.2
phillies,2004,1B,2008,1782,16089.1,5334,1476,9,2.3,3.3,-11.7,13.1,6.9,1.3,0.9
pirates,2004,2B,2140,1771,15708.0,5179,1489,-36,-7.7,7.7,-71.5,1.8,-69.6,-6.0,-68.6
rangers,2004,1B,2030,1782,15836.1,5279,1418,-35,-2.1,-2.2,56.6,-3.0,49.2,4.3,48.2
rays,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
red_sox,2004,CF,2269,1782,15964.2,5217,1505,-43,-20.4,-7.2,-48.8,-10.6,-87.0,-10.5,-91.0
reds,2004,CF,2119,1782,15880.1,5330,1479,9,14.0,-3.4,-35.0,-3.1,-27.5,-2.2,-23.5
rockies,2004,3B,2170,1782,15788.2,5169,1616,-79,-3.7,-4.1,-70.0,17.9,-60.0,-6.0,-67.0
royals,2004,1B,1968,1782,15623.2,5320,1495,-21,-10.0,9.1,-49.6,-11.9,-62.4,-4.6,-63.4
tigers,2004,OF,2033,1782,15836.1,5302,1588,-5,-16.4,4.5,0.8,-13.7,-24.8,-2.7,-23.8
twins,2004,C,2022,1782,16236.0,5416,1516,19,-2.6,2.5,-26.2,15.6,-10.7,-0.8,-8.7
white_sox,2004,1B,2011,1782,15755.2,5248,1497,32,9.7,-0.4,38.8,6.0,54.1,5.9,55.1
yankees,2004,3B,2032,1782,15880.1,5303,1382,-116,-13.4,-2.4,-132.0,10.3,-137.4,-13.4,-141.4
angels,2005,LF,2052,1782,16107.2,5433,1407,42,1.1,-1.9,0.6,7.0,6.8,0.4,12.8
astros,2005,CF,2169,1793,15873.0,5184,1526,69,4.2,-0.1,30.4,1.2,35.7,3.8,35.7
athletics,2005,C,1963,1782,15953.2,5257,1508,51,-5.2,-2.8,41.8,3.5,37.3,2.9,33.3
blue_jays,2005,1B,2107,1782,15917.0,5254,1584,78,19.1,0.7,19.8,8.0,47.6,6.0,44.6
braves,2005,1B,2004,1782,15880.1,5282,1647,122,54.0,2.7,62.1,12.3,131.1,15.6,131.1
brewers,2005,C,1968,1782,15818.0,5330,1340,-4,-4.3,-1.0,36.1,-12.7,18.1,1.2,14.1
cardinals,2005,SS,2273,1782,15902.1,5168,1758,61,16.6,7.4,-29.8,3.5,-2.4,1.7,7.6
cubs,2005,C,2071,1782,15840.0,5170,1487,7,-10.1,0.5,67.5,-4.8,53.1,4.6,56.1
diamondbacks,2005,3B,2096,1782,16019.2,5262,1589,-48,-10.9,-2.2,-76.5,11.2,-78.4,-8.1,-79.4
dodgers,2005,3B,2165,1782,15700.2,5228,1534,38,12.4,-1.3,11.6,-6.5,16.1,2.2,11.1
giants,2005,CF,2092,1782,15887.2,5356,1459,-57,-22.8,-7.9,48.8,-6.4,11.7,-1.6,15.7
indians,2005,1B,1902,1782,15979.1,5345,1510,69,-23.6,5.3,86.6,-5.6,62.8,5.1,61.8
mariners,2005,1B,1912,1782,15704.1,5387,1426,17,-13.3,-3.0,39.5,7.7,30.9,1.7,29.9
marlins,2005,1B,2059,1782,15865.2,5156,1481,-114,15.7,5.1,-81.0,2.6,-57.6,-4.2,-58.6
mets,2005,1B,2023,1782,15792.1,5293,1469,-12,35.6,-0.4,-54.5,-6.9,-26.2,-0.3,-35.2
nationals,2005,LF,2099,1782,16038.0,5441,1384,9,14.3,4.3,43.5,6.3,68.4,7.7,72.4
orioles,2005,1B,2043,1782,15704.1,5228,1531,34,-8.5,0.1,25.4,-4.7,12.4,0.7,8.4
padres,2005,1B,2179,1782,16008.2,5339,1364,-60,-11.3,0.3,-12.6,-0.3,-23.9,-2.8,-24.9
phillies,2005,1B,2067,1782,15785.0,5175,1448,106,21.8,-1.1,48.5,0.5,69.7,8.4,66.7
pirates,2005,SS,2082,1782,15796.0,5288,1595,-2,-33.5,8.0,-7.5,-3.6,-36.6,-4.4,-37.6
rangers,2005,1B,1923,1782,15840.0,5334,1468,-16,3.7,-6.3,-13.8,-0.1,-16.5,-2.1,-19.5
rays,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
red_sox,2005,C,2148,1782,15719.0,5265,1494,-30,2.0,0.8,-29.2,0.7,-25.8,-2.1,-32.8
reds,2005,1B,2020,1793,15763.0,5349,1449,-66,2.0,-3.9,-90.0,4.5,-87.4,-8.1,-86.4
rockies,2005,3B,2041,1782,15605.1,5200,1550,-27,-2.5,-5.1,3.4,-0.1,-4.3,-1.0,-4.3
royals,2005,1B,1978,1782,15546.2,5189,1513,-147,0.1,1.1,-75.2,-15.2,-89.2,-8.1,-87.2
tigers,2005,OF,2058,1782,15792.1,5279,1654,46,-15.0,0.5,21.6,6.9,14.0,0.4,24.0
twins,2005,2B,1989,1782,16107.2,5311,1604,52,-0.4,4.0,24.9,-1.1,27.3,3.1,30.3
white_sox,2005,1B,1949,1782,16232.1,5414,1488,59,-14.3,3.4,55.9,3.8,48.8,3.9,45.8
yankees,2005,2B,2084,1782,15737.1,5242,1504,-175,-7.9,-4.2,-227.3,2.2,-237.2,-22.1,-239.2
angels,2006,LF,2076,1782,15979.1,5393,1437,1,12.7,-1.8,2.1,-16.0,-3.0,0.5,2.0
astros,2006,LF,2175,1782,16155.1,5294,1597,47,-4.6,4.5,18.4,10.9,29.1,2.9,26.1
athletics,2006,1B,1951,1782,15968.1,5373,1489,-3,-9.4,-2.2,-7.2,13.1,-5.7,-1.3,0.3
blue_jays,2006,3B,2069,1782,15711.2,5148,1549,99,30.6,0.5,31.6,-3.0,59.6,8.2,53.6
braves,2006,2B,2096,1782,15854.2,5310,1432,26,-2.6,-2.8,53.7,1.1,49.5,4.2,46.5
brewers,2006,C,1984,1782,15682.1,5227,1436,10,-13.5,-2.8,28.8,-6.8,5.7,-0.8,4.7
cardinals,2006,SS,2242,1771,15726.1,5206,1600,45,-12.9,5.4,-8.6,-5.7,-21.8,-2.3,-18.8
cubs,2006,2B,2045,1782,15829.0,5297,1314,-7,-22.6,-1.9,93.4,-0.8,68.1,4.9,64.1
diamondbacks,2006,2B,1990,1782,16056.1,5264,1583,-13,-21.6,6.1,-22.4,4.0,-33.9,-3.7,-34.9
dodgers,2006,SS,2157,1782,16063.2,5318,1596,-35,-4.9,-3.0,-45.7,-6.0,-59.6,-6.0,-63.6
giants,2006,CF,2222,1771,15726.1,5312,1437,49,-14.1,-4.0,47.1,6.8,35.8,1.6,32.8
indians,2006,2B,1916,1782,15656.2,5279,1540,-10,-3.5,0.8,-8.9,-5.9,-17.5,-1.7,-25.5
mariners,2006,CF,1984,1782,15913.1,5302,1510,69,25.2,5.5,29.8,1.1,61.6,8.0,62.6
marlins,2006,1B,2273,1782,15766.2,5264,1428,-38,-5.1,1.1,-23.0,-12.1,-39.3,-3.9,-34.3
mets,2006,1B,1987,1782,16074.2,5374,1469,41,-2.2,-1.9,28.8,8.6,33.2,2.6,34.2
nationals,2006,OF,2063,1782,15799.2,5432,1355,-16,12.2,-6.8,11.3,-19.6,-3.0,-0.9,-8.0
orioles,2006,C,2087,1782,15609.0,5327,1471,4,7.5,-0.8,7.8,4.9,19.4,2.0,27.4
padres,2006,3B,2055,1782,16100.1,5392,1432,48,-18.3,-1.4,42.4,9.9,32.5,1.1,26.5
phillies,2006,LF,2169,1782,16063.2,5308,1501,-33,2.9,2.5,-25.7,5.0,-15.3,-0.9,-17.3
pirates,2006,1B,2010,1782,15785.0,5201,1576,-79,-1.2,4.0,-98.8,10.4,-85.6,-7.5,-85.6
rangers,2006,1B,1954,1782,15744.2,5235,1615,24,10.3,-3.1,-21.7,9.7,-4.8,-0.3,0.2
rays,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
red_sox,2006,C,2162,1782,15854.2,5245,1542,-70,4.3,1.7,-82.5,21.4,-55.1,-4.6,-62.1
reds,2006,2B,2050,1782,15902.1,5349,1427,-56,16.4,1.1,-22.1,-17.4,-22.0,-0.9,-20.0
rockies,2006,1B,2001,1782,15920.2,5293,1638,-3,29.7,8.8,-77.5,11.7,-27.4,0.3,-23.4
royals,2006,1B,1986,1782,15689.2,5378,1519,33,11.2,2.1,66.0,-3.0,76.3,7.7,79.3
tigers,2006,OF,2049,1782,15928.0,5255,1648,32,11.8,3.0,19.6,-1.9,32.5,4.5,36.5
twins,2006,3B,1983,1782,15832.2,5246,1528,13,3.8,-6.3,33.4,3.1,34.0,2.7,33.0
white_sox,2006,2B,2120,1782,15939.0,5375,1478,-71,-28.6,-2.0,-16.1,1.2,-45.6,-6.4,-47.6
yankees,2006,1B,2180,1782,15880.1,5361,1397,-72,-13.0,-1.5,-94.2,-8.9,-117.6,-11.7,-114.6
angels,2007,LF,2039,1782,15785.0,5311,1439,-23,4.6,1.9,1.4,-5.4,2.6,0.8,1.6
astros,2007,LF,2191,1782,16111.1,5340,1519,-72,-3.5,-5.2,-24.9,-6.2,-39.8,-4.5,-45.8
athletics,2007,CF,2007,1782,15928.0,5332,1547,6,-33.8,-1.5,-0.6,2.5,-33.4,-5.5,-34.4
blue_jays,2007,3B,2015,1782,15935.1,5157,1684,106,7.1,-3.1,27.5,3.1,34.6,3.6,27.6
braves,2007,1B,2026,1782,16019.2,5343,1483,111,43.9,-1.4,59.4,0.4,102.2,12.5,100.2
brewers,2007,2B,2086,1782,15887.2,5355,1381,7,1.9,-0.4,45.1,-7.0,39.7,3.8,32.7
cardinals,2007,SS,2223,1782,15792.1,5282,1536,26,-1.1,-3.1,8.9,-23.6,-18.8,-2.0,-14.8
cubs,2007,1B,2232,1782,15913.1,5324,1401,56,29.1,5.3,72.5,4.7,111.6,14.5,101.6
diamondbacks,2007,1B,2085,1782,15851.0,5343,1452,58,-6.1,1.7,13.2,-0.1,8.7,0.6,7.7
dodgers,2007,LF,2162,1782,15950.0,5250,1484,-16,-35.7,-0.9,-13.9,-3.0,-53.4,-7.8,-46.4
giants,2007,C,2163,1782,15990.1,5373,1527,-19,-11.1,-0.8,1.2,15.4,4.6,-0.4,6.6
indians,2007,OF,2079,1782,16089.1,5357,1540,11,-5.3,-3.9,3.3,6.2,0.4,-0.8,4.4
