team,season,pos,g,gs,inn,po,a,drs,arm,dpr,rngR,errR,uzr,uzr150,def
mariners,2017,OF,1999,1782,15843.2,5360,1336,32,25.2,8.4,0.2,-11.0,22.8,4.7,23.8
marlins,2017,CF,1950,1782,15869.1,5325,1400,3,-5.0,4.2,22.1,12.4,33.7,3.3,35.7
mets,2017,2B,2043,1782,15781.1,5245,1311,-55,19.3,-4.1,-10.7,1.0,5.5,1.1,3.5
nationals,2017,LF,2073,1782,15913.1,5247,1334,-12,-3.8,-0.5,7.6,1.8,5.1,0.1,4.1
orioles,2017,1B,2149,1782,15851.0,5227,1464,-20,-26.3,-0.8,-29.5,5.4,-51.3,-6.4,-51.3
padres,2017,SS,2109,1782,15737.1,5182,1463,19,5.9,3.1,-23.9,-13.6,-28.5,-1.9,-28.5
phillies,2017,1B,2048,1782,15851.0,5252,1359,-48,-0.5,2.3,-18.8,14.5,-2.5,0.0,-5.5
pirates,2017,C,2096,1782,15847.1,5159,1480,-32,8.0,1.6,-3.6,-11.1,-5.1,0.2,-21.6
rangers,2017,3B,2033,1782,15777.2,5230,1512,-25,0.5,1.3,-18.5,-6.3,-23.0,-1.8,-22.0
rays,2017,C,2037,1782,15895.0,5286,1327,104,0.5,-2.2,53.0,-8.4,43.0,4.0,42.4
red_sox,2017,1B,1953,1782,16305.2,5407,1291,125,1.4,-5.2,51.2,2.4,49.7,3.8,55.7
reds,2017,SS,1991,1782,15730.0,5100,1499,54,21.8,3.5,-11.1,-0.3,14.0,3.3,20.0
rockies,2017,C,2013,1782,15814.1,5139,1542,-24,-25.4,4.4,13.8,13.5,6.3,-0.5,-1.2
royals,2017,1B,2033,1782,15814.1,5329,1401,-71,-8.3,-0.3,5.0,12.9,9.3,0.3,6.3
tigers,2017,1B,2044,1782,15623.2,5315,1288,-69,-28.4,-5.5,17.3,12.4,-4.2,-1.8,-7.2
twins,2017,1B,2049,1782,15796.0,5372,1357,57,-0.6,-7.7,23.2,13.0,27.8,1.2,28.8
white_sox,2017,1B,1952,1782,15638.1,5268,1441,-36,14.8,0.7,-10.7,-19.5,-14.7,-0.5,-20.7
yankees,2017,3B,2019,1782,15935.1,5210,1335,47,-3.7,-6.2,28.2,0.3,18.6,0.7,18.6
angels,2018,1B,2066,1782,15810.2,5232,1399,62,-2.1,6.1,18.7,18.1,40.8,3.9,44.8
astros,2018,LF,2248,1782,16005.0,5209,1259,46,5.7,1.5,-18.0,3.8,-7.1,0.0,-6.1
athletics,2018,CF,2096,1782,16122.1,5368,1484,29,-3.5,0.0,33.9,9.8,40.1,3.2,44.1
blue_jays,2018,3B,2058,1782,15770.1,5315,1321,-118,-9.6,1.3,-56.9,-2.4,-67.5,-6.1,-68.5
braves,2018,3B,1990,1782,16023.1,5332,1275,80,-7.9,-3.0,33.5,8.4,31.0,1.8,30.0
brewers,2018,1B,2307,1793,16071.0,5245,1323,126,-1.8,3.6,64.7,-14.0,52.5,5.9,54.5
cardinals,2018,CF,2125,1782,16008.2,5260,1372,26,-4.2,3.7,38.9,-16.5,22.0,2.3,19.0
cubs,2018,1B,2408,1793,16239.2,5326,1540,73,28.4,4.9,-8.1,11.9,37.1,6.0,40.1
diamondbacks,2018,LF,2022,1782,16093.0,5217,1538,135,-31.6,-2.1,45.7,6.8,18.8,-0.8,18.8
dodgers,2018,1B,2457,1793,16236.0,5295,1301,36,-1.2,-7.1,-8.2,-8.4,-24.9,-3.8,-25.9
giants,2018,CF,2064,1782,16074.2,5304,1469,-3,-24.5,-0.6,-2.4,-4.0,-31.4,-4.3,-33.4
indians,2018,2B,2192,1782,16030.2,5295,1251,4,23.0,-1.3,6.7,7.2,35.6,5.1,32.6
mariners,2018,LF,2102,1782,15935.1,5354,1398,-51,-8.0,7.4,-24.2,-1.6,-26.5,-2.0,-24.5
marlins,2018,1B,2236,1771,15862.0,5331,1328,-20,-8.9,0.4,11.3,1.1,3.9,-0.1,6.9
mets,2018,3B,2015,1782,16067.1,5342,1257,-99,-7.6,2.1,-46.5,1.3,-50.7,-5.3,-56.7
nationals,2018,C,2121,1782,15906.0,5261,1230,-59,-10.2,-6.4,-29.9,14.5,-32.0,-4.7,-36.7
orioles,2018,1B,2086,1782,15741.0,5255,1423,-117,1.6,3.0,-83.1,-2.3,-80.8,-7.6,-78.8
padres,2018,1B,2108,1782,16027.0,5275,1354,43,-17.7,-6.4,-16.1,8.0,-32.2,-4.9,-34.2
phillies,2018,C,2088,1782,15902.1,5165,1337,-146,-14.3,2.0,-54.0,-12.3,-78.5,-8.8,-71.1
pirates,2018,1B,1985,1771,15774.0,5260,1358,-20,23.9,-0.1,-13.8,-2.0,8.0,2.3,13.0
rangers,2018,3B,2017,1782,15741.0,5312,1417,-22,16.8,2.0,12.7,0.7,32.1,3.4,30.1
rays,2018,C,2077,1782,15931.2,5320,1386,79,-6.6,-1.1,27.6,-6.8,13.1,0.5,-4.0
red_sox,2018,2B,2025,1782,16045.1,5296,1257,-16,38.2,-0.2,5.7,8.0,51.7,7.1,49.7
reds,2018,C,2144,1782,15851.0,5204,1458,-2,-12.0,-1.8,8.4,-5.1,-10.5,-1.7,-33.2
rockies,2018,1B,2033,1793,15975.2,5185,1497,-49,-3.3,3.9,-23.9,18.9,-4.3,-0.1,-5.3
royals,2018,1B,1871,1782,15752.0,5339,1404,-7,9.8,-4.3,50.5,8.6,64.6,5.7,69.6
tigers,2018,1B,1899,1782,15678.2,5330,1320,-14,1.5,-2.3,16.5,-1.3,14.3,0.9,14.3
twins,2018,1B,2041,1782,15876.2,5252,1321,9,-2.4,-2.4,27.2,-6.5,15.9,1.2,12.9
white_sox,2018,C,2024,1782,15807.0,5316,1330,-86,2.3,3.9,-18.5,-21.2,-33.5,-2.8,-52.3
yankees,2018,CF,1970,1782,16019.2,5232,1232,34,26.3,-6.8,1.0,0.4,20.8,2.7,20.8
angels,2019,1B,2063,1782,15869.1,5277,1356,-6,13.4,0.7,7.0,9.3,30.4,3.4,28.4
astros,2019,C,2208,1782,16085.2,5223,1253,129,-1.7,-5.5,38.8,6.6,38.1,3.2,35.9
athletics,2019,C,2045,1782,16115.0,5369,1360,62,16.1,-1.2,15.8,20.1,50.8,5.2,43.9
blue_jays,2019,2B,2012,1782,15843.2,5228,1368,-60,-6.7,-4.2,-29.2,3.6,-36.5,-4.2,-33.5
braves,2019,1B,2069,1782,15957.1,5259,1369,46,10.5,0.7,-37.2,14.8,-11.1,-0.1,-12.1
brewers,2019,3B,2192,1782,16052.2,5238,1275,63,-0.9,2.4,28.5,-6.2,23.7,2.7,19.7
cardinals,2019,CF,2189,1782,15884.0,5116,1444,65,10.7,5.7,21.5,8.1,45.9,6.0,47.9
cubs,2019,1B,2315,1782,15862.0,5139,1473,-10,1.4,6.4,-5.2,7.9,10.6,1.5,10.6
diamondbacks,2019,LF,2215,1782,16115.0,5249,1426,98,19.3,0.2,20.5,5.2,45.3,5.6,48.3
dodgers,2019,3B,2296,1782,15902.1,5157,1294,133,11.8,-0.6,18.9,-14.1,16.0,2.6,15.0
giants,2019,C,2128,1782,16159.0,5363,1419,43,-15.2,-4.5,28.0,-1.8,6.6,-1.0,12.5
indians,2019,1B,2038,1782,15814.1,5257,1252,91,27.0,-0.5,9.4,13.7,49.5,6.6,50.5
mariners,2019,OF,2059,1782,15832.2,5314,1374,-101,-19.9,-1.9,-18.8,-13.7,-54.2,-5.7,-53.2
marlins,2019,1B,2186,1782,15887.2,5326,1266,-19,6.9,2.4,-4.2,-10.3,-5.3,0.5,-5.3
mets,2019,1B,2405,1782,16071.0,5238,1314,-92,5.0,4.5,-41.7,4.5,-27.8,-1.7,-29.8
nationals,2019,1B,1955,1782,15832.2,5197,1249,19,2.5,-4.5,-1.0,11.9,8.8,0.4,5.8
orioles,2019,1B,2212,1782,15873.0,5384,1353,-120,-35.1,5.7,-4.5,-19.8,-53.8,-5.6,-53.8
padres,2019,1B,2220,1782,15752.0,5213,1261,16,-16.3,-2.0,25.8,-1.0,6.5,-1.1,6.5
phillies,2019,LF,2061,1782,15990.1,5241,1411,71,16.3,-8.1,22.9,7.3,38.5,3.6,48.5
pirates,2019,LF,2106,1782,15840.0,5163,1340,-117,-13.4,2.6,-60.4,-15.9,-87.2,-8.5,-85.2
rangers,2019,LF,1970,1782,15818.0,5284,1281,-72,-24.9,-1.1,1.8,-0.3,-24.5,-3.3,-26.5
rays,2019,LF,2086,1782,16217.2,5251,1316,32,10.3,-1.1,-0.4,-7.0,1.8,0.6,1.8
red_sox,2019,1B,2021,1782,16181.0,5282,1338,-32,30.1,-5.9,-11.6,6.1,18.7,2.5,19.7
reds,2019,1B,2344,1782,15818.0,5081,1328,39,-5.7,1.8,-7.8,-1.1,-12.8,-1.4,-15.8
rockies,2019,1B,2048,1782,15935.1,5122,1605,-55,-21.8,0.8,-8.5,-6.5,-36.1,-4.2,-34.1
royals,2019,1B,1986,1782,15675.0,5284,1383,15,-4.8,3.8,14.9,22.3,36.1,3.2,39.1
tigers,2019,1B,1873,1771,15763.0,5243,1341,-127,-26.5,-1.2,-27.7,2.9,-52.5,-6.0,-54.5
twins,2019,1B,2108,1782,16096.2,5336,1317,-2,14.1,-1.3,15.2,-23.3,4.8,0.6,-0.2
white_sox,2019,1B,2058,1771,15539.1,5084,1447,-117,-1.9,5.6,-26.1,-12.8,-35.3,-3.0,-34.3
yankees,2019,1B,2023,1782,15873.0,5241,1252,24,-0.5,1.6,15.4,1.8,18.3,2.0,20.3
